epoch,train_loss,val_loss,RMSE,MAE,AbsRel,delta1
1,1.16439,3.62976,3.33253,2.78236,1.53018,0.14443
2,0.80495,3.78830,3.49832,2.90092,1.62656,0.14173
3,0.62375,3.70902,3.43842,2.86663,1.62769,0.15331
4,0.51945,3.94873,3.63708,3.02804,1.72408,0.15152
5,0.44809,3.89705,3.59235,2.99546,1.70933,0.15039
6,0.39658,3.94101,3.62425,3.02050,1.71624,0.14729
7,0.35755,3.88061,3.55616,2.97464,1.68407,0.14411
8,0.32950,3.97108,3.66213,3.04287,1.74047,0.14940
9,0.30746,3.88585,3.55494,2.97826,1.68737,0.14952
10,0.28963,3.90391,3.57085,2.99146,1.69418,0.14734
11,0.27505,3.83749,3.51054,2.94280,1.66327,0.14903
12,0.26252,3.91488,3.59483,2.99841,1.70566,0.15098
13,0.25127,3.90855,3.59048,2.99696,1.70506,0.14909
14,0.24252,3.89281,3.56125,2.98199,1.68672,0.14742
15,0.23489,3.85588,3.54162,2.95567,1.67595,0.14908
16,0.22845,3.93691,3.61300,3.01165,1.71287,0.14778
17,0.22370,3.88858,3.56691,2.97963,1.69160,0.14840
18,0.22011,3.88995,3.56093,2.97778,1.68717,0.14779
19,0.21800,3.89320,3.57055,2.98240,1.69295,0.14799
20,0.21690,3.88580,3.55797,2.97765,1.68749,0.14832
